Category,Segment,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13
Passenger Vehicles (PVs),Passenger Cars,500301,557410,782562,960487,1046133,1238032,1426212,1516967,1932620,2453113,2775124,2668633
Passenger Vehicles (PVs),Multi-Utility Vehicles,169418,165920,206998,249389,263167,307202,351371,321626,424791,534183,370945,564928
Passenger Vehicles (PVs),Total Passenger Vehicles (PVs),669719,723330,989560,1209876,1309300,1545234,1777583,1838593,2357411,2987296,3146069,3233561
Commercial Vehicles (CVs) M & HCVs,Passenger Carriers,20283,21156,27628,30419,28982,32828,46542,40995,46026,NA,NA,NA
Commercial Vehicles (CVs) M & HCVs,Goods Carriers,76469,99346,138495,184388,190313,261438,248415,151288,204145,NA,NA,NA
Commercial Vehicles (CVs) M & HCVs,Total M & HCVs,96752,120502,166123,214807,219295,294258,294957,192283,250133,344542,384801,278560
LCVs,Passenger Carriers,14977,19821,20962,22619,25395,29443,33882,28635,34751,NA,NA,NA
LCVs,Goods Carriers,50779,63374,87955,116277,146393,196291,220167,195952,281686,NA,NA,NA
LCVs,Total LCVs,65756,83195,108917,138896,171788,225734,254049,224587,317423,408193,544335,553184
Total Commercial Vehicles (CVs),Total Commercial Vehicles (CVs),162508,203697,275040,353703,391083,519982,549006,416870,567556,752735,929136,831744
Three Wheelers,Passenger Carriers,170013,210454,245084,237413,286987,385443,371060,417434,530203,NA,NA,NA
Three Wheelers,Goods Carriers,42735,66265,111139,137032,147436,170681,129600,79586,88890,NA,NA,NA
Three Wheelers,Total Three Wheelers,212748,276719,356223,374445,434423,556126,500660,497020,619194,799553,879289,839742
Two wheelers,Scooter/Scooterettee,937506,848434,935279,987498,1021013,943974,1074933,1161276,1494409,2144765,2659340,3025014
Two wheelers,Motorcycles/Step-Throughs,2906323,3876175,4355168,5193894,6207690,7112225,6503532,6798118,8444857,10527111,11982669,11904212
Two wheelers,Mopeds,427498,351612,332294,348437,379994,379987,430827,436219,571070,704575,785523,791954
Two wheelers,Electric Two Wheelers,NA,NA,NA,NA,NA,30454,17389,24179,2567,NA,NA,NA
Two wheelers,Total Two wheelers,4271327,5076221,5622741,6529829,7608697,8466640,8026681,8419792,10512903,13376451,15427532,15721180
Grand Total,Grand Total,5316302,6279967,7243564,8467853,9743503,11087992,10853930,11172275,14057064,17916035,20382026,20626227
